key,value,time
#AutumnEquinox,2,7:06 PM
#AutumnEquinox,3,7:07 PM
#AutumnEquinox,2,7:08 PM
#AutumnEquinox,7,7:09 PM
#AutumnEquinox,0,7:10 PM
#AutumnEquinox,3,7:11 PM
#AutumnEquinox,3,7:12 PM
#AutumnEquinox,7,7:13 PM
#AutumnEquinox,2,7:14 PM
#AutumnEquinox,6,7:15 PM
#AutumnEquinox,6,7:16 PM
#AutumnEquinox,8,7:17 PM
#AutumnEquinox,9,7:18 PM
#AutumnEquinox,5,7:19 PM
#AutumnEquinox,7,7:20 PM
#AutumnEquinox,8,7:21 PM
#AutumnEquinox,8,7:22 PM
#AutumnEquinox,8,7:23 PM
#AutumnEquinox,5,7:24 PM
#AutumnEquinox,6,7:25 PM
#AutumnEquinox,7,7:26 PM
#AutumnEquinox,5,7:27 PM
#AutumnEquinox,9,7:28 PM
#AutumnEquinox,7,7:29 PM
#AutumnEquinox,8,7:30 PM
#AutumnEquinox,7,7:31 PM
#AutumnEquinox,7,7:32 PM
#AutumnEquinox,10,7:33 PM
#AutumnEquinox,2,7:34 PM
#AutumnEquinox,6,7:35 PM
#AutumnEquinox,4,7:36 PM
#AutumnEquinox,6,7:37 PM
#AutumnEquinox,4,7:38 PM
#AutumnEquinox,5,7:39 PM
#AutumnEquinox,6,7:40 PM
#AutumnEquinox,3,7:41 PM
#AutumnEquinox,3,7:42 PM
#AutumnEquinox,1,7:43 PM
#AutumnEquinox,6,7:44 PM
#AutumnEquinox,2,7:45 PM
#AutumnEquinox,0,7:46 PM
#AutumnEquinox,6,7:47 PM
#AutumnEquinox,4,7:48 PM
#AutumnEquinox,6,7:49 PM
#AutumnEquinox,2,7:50 PM
#AutumnEquinox,3,7:51 PM
#AutumnEquinox,1,7:52 PM
#AutumnEquinox,3,7:53 PM
#AutumnEquinox,3,7:54 PM
#AutumnEquinox,1,7:55 PM
#AutumnEquinox,3,7:56 PM
#AutumnEquinox,4,7:57 PM
#AutumnEquinox,5,7:58 PM
#AutumnEquinox,1,7:59 PM
#AutumnEquinox,5,8:00 PM
#AutumnEquinox,2,8:01 PM
#AutumnEquinox,2,8:02 PM
#AutumnEquinox,1,8:03 PM
#AutumnEquinox,1,8:04 PM
#AutumnEquinox,3,8:05 PM
#AutumnEquinox,2,8:06 PM
#AutumnEquinox,1,8:07 PM
#AutumnEquinox,4,8:08 PM
#AutumnEquinox,2,8:09 PM
#AutumnEquinox,8,8:10 PM
#AutumnEquinox,8,8:11 PM
#AutumnEquinox,3,8:12 PM
#AutumnEquinox,4,8:13 PM
#AutumnEquinox,1,8:14 PM
#AutumnEquinox,0,8:15 PM
#AutumnEquinox,4,8:16 PM
#AutumnEquinox,5,8:17 PM
#AutumnEquinox,1,8:18 PM
#AutumnEquinox,1,8:19 PM
#AutumnEquinox,3,8:20 PM
#AutumnEquinox,4,8:21 PM
#AutumnEquinox,2,8:22 PM
#AutumnEquinox,2,8:23 PM
#AutumnEquinox,1,8:24 PM
#AutumnEquinox,2,8:25 PM
#AutumnEquinox,0,8:26 PM
#AutumnEquinox,4,8:27 PM
#AutumnEquinox,3,8:28 PM
#AutumnEquinox,4,8:29 PM
#AutumnEquinox,0,8:30 PM
#AutumnEquinox,2,8:31 PM
#AutumnEquinox,2,8:32 PM
#AutumnEquinox,5,8:33 PM
#AutumnEquinox,5,8:34 PM
#AutumnEquinox,4,8:35 PM
#AutumnEquinox,3,8:36 PM
#AutumnEquinox,2,8:37 PM
#AutumnEquinox,3,8:38 PM
#AutumnEquinox,1,8:39 PM
#AutumnEquinox,4,8:40 PM
#AutumnEquinox,3,8:41 PM
#AutumnEquinox,0,8:42 PM
#AutumnEquinox,9,8:43 PM
#AutumnEquinox,1,8:44 PM
#AutumnEquinox,3,8:45 PM
#AutumnEquinox,5,8:46 PM
#AutumnEquinox,1,8:47 PM
#AutumnEquinox,2,8:48 PM
#AutumnEquinox,2,8:49 PM
#AutumnEquinox,6,8:50 PM
#AutumnEquinox,4,8:51 PM
#AutumnEquinox,3,8:52 PM
#AutumnEquinox,2,8:53 PM
#AutumnEquinox,4,8:54 PM
#AutumnEquinox,4,8:55 PM
#AutumnEquinox,2,8:56 PM
#AutumnEquinox,2,8:57 PM
#AutumnEquinox,2,8:58 PM
#AutumnEquinox,2,8:59 PM
#AutumnEquinox,3,9:00 PM
#AutumnEquinox,3,9:01 PM
#AutumnEquinox,3,9:02 PM
#AutumnEquinox,1,9:03 PM
#AutumnEquinox,4,9:04 PM
#AutumnEquinox,0,9:05 PM
#AutumnEquinox,3,9:06 PM
#AutumnEquinox,1,9:07 PM
#AutumnEquinox,1,9:08 PM
#AutumnEquinox,2,9:09 PM
#AutumnEquinox,2,9:10 PM
#AutumnEquinox,2,9:11 PM
#AutumnEquinox,0,9:12 PM
#AutumnEquinox,5,9:13 PM
#AutumnEquinox,8,9:14 PM
#AutumnEquinox,5,9:15 PM
#AutumnEquinox,3,9:16 PM
#AutumnEquinox,1,9:17 PM
#DotardTrump,3,7:06 PM
#DotardTrump,3,7:07 PM
#DotardTrump,2,7:08 PM
#DotardTrump,2,7:09 PM
#DotardTrump,2,7:10 PM
#DotardTrump,3,7:11 PM
#DotardTrump,1,7:12 PM
#DotardTrump,1,7:13 PM
#DotardTrump,1,7:14 PM
#DotardTrump,2,7:15 PM
#DotardTrump,2,7:16 PM
#DotardTrump,3,7:17 PM
#DotardTrump,5,7:18 PM
#DotardTrump,4,7:19 PM
#DotardTrump,2,7:20 PM
#DotardTrump,3,7:21 PM
#DotardTrump,3,7:22 PM
#DotardTrump,4,7:23 PM
#DotardTrump,3,7:24 PM
#DotardTrump,3,7:25 PM
#DotardTrump,5,7:26 PM
#DotardTrump,0,7:27 PM
#DotardTrump,2,7:28 PM
#DotardTrump,4,7:29 PM
#DotardTrump,4,7:30 PM
#DotardTrump,6,7:31 PM
#DotardTrump,4,7:32 PM
#DotardTrump,4,7:33 PM
#DotardTrump,1,7:34 PM
#DotardTrump,5,7:35 PM
#DotardTrump,3,7:36 PM
#DotardTrump,4,7:37 PM
#DotardTrump,2,7:38 PM
#DotardTrump,3,7:39 PM
#DotardTrump,1,7:40 PM
#DotardTrump,1,7:41 PM
#DotardTrump,3,7:42 PM
#DotardTrump,1,7:43 PM
#DotardTrump,3,7:44 PM
#DotardTrump,2,7:45 PM
#DotardTrump,1,7:46 PM
#DotardTrump,0,7:47 PM
#DotardTrump,1,7:48 PM
#DotardTrump,2,7:49 PM
#DotardTrump,2,7:50 PM
#DotardTrump,4,7:51 PM
#DotardTrump,1,7:52 PM
#DotardTrump,1,7:53 PM
#DotardTrump,2,7:54 PM
#DotardTrump,1,7:55 PM
#DotardTrump,2,7:56 PM
#DotardTrump,0,7:57 PM
#DotardTrump,4,7:58 PM
#DotardTrump,1,7:59 PM
#DotardTrump,0,8:00 PM
#DotardTrump,0,8:01 PM
#DotardTrump,2,8:02 PM
#DotardTrump,1,8:03 PM
#DotardTrump,1,8:04 PM
#DotardTrump,1,8:05 PM
#DotardTrump,0,8:06 PM
#DotardTrump,0,8:07 PM
#DotardTrump,2,8:08 PM
#DotardTrump,1,8:09 PM
#DotardTrump,0,8:10 PM
#DotardTrump,1,8:11 PM
#DotardTrump,1,8:12 PM
#DotardTrump,3,8:13 PM
#DotardTrump,2,8:14 PM
#DotardTrump,3,8:15 PM
#DotardTrump,4,8:16 PM
#DotardTrump,2,8:17 PM
#DotardTrump,0,8:18 PM
#DotardTrump,0,8:19 PM
#DotardTrump,1,8:20 PM
#DotardTrump,0,8:21 PM
#DotardTrump,0,8:22 PM
#DotardTrump,0,8:23 PM
#DotardTrump,0,8:24 PM
#DotardTrump,0,8:25 PM
